PLAYER,TEAM,GP,W,L,OFFRTG,DEFRTG,USG.,PIE,PACE,POSS,WINPCT,TEAMWIN
Luke Kennard,MEM,59,37,22,116.5,109.1,14.4,8.9,100.32,2753,0.627,0.549
Mitchell Robinson,NYK,59,35,24,119.9,112.6,10.1,10.1,97.13,3194,0.593,0.5
Nickeil Alexander-Walker,MIN,59,29,30,109.8,111.8,17.7,7.7,102.8,1887,0.492,0.207
Ochai Agbaji,UTA,59,29,30,114.4,114.6,15.4,5.2,103.39,2598,0.492,0.524
Thomas Bryant,DEN,59,33,26,111.1,115.8,18.1,12.9,102.1,2307,0.559,0.622
Christian Koloko,TOR,58,29,29,112.7,103.7,10,4.6,100.54,1682,0.5,0.585
Damian Lillard,POR,58,27,31,119.5,117.4,33.1,17.3,99.78,4385,0.466,0.463
Desmond Bane,MEM,58,38,20,116.4,107.4,25.2,13.1,103.27,3962,0.655,0.549
Goran Dragic,MIL,58,27,31,111.6,112.2,19.8,7.3,103.2,1878,0.466,0.707
James Harden,PHI,58,39,19,119.4,113.3,24.7,15.9,96.11,4282,0.672,0.659
Yuta Watanabe,BKN,58,30,28,112.3,112.9,12.7,7.6,101.71,1968,0.517,0.5
Cam Thomas,BKN,57,30,27,112.1,113.7,26.8,10.2,100.71,2000,0.526,0.5
Daishen Nix,HOU,57,15,42,106.2,114.4,14.9,4.5,101.05,1928,0.263,0.402
Dario Saric,OKC,57,26,31,112.8,111.2,18.6,9.9,100.8,1697,0.456,0.537
JaMychal Green,GSW,57,30,27,108.3,116.4,16.9,9.7,105.25,1741,0.526,0.427
Montrezl Harrell,PHI,57,35,22,111.9,109.6,17.8,10.3,101.28,1431,0.614,0.659
Moritz Wagner,ORL,57,27,30,109.4,110.6,20.1,11.5,102.32,2365,0.474,0.488
Wendell Carter Jr.,ORL,57,26,31,110.5,111.4,20.4,12.6,100.17,3521,0.456,0.488
Anthony Davis,LAL,56,31,25,114.3,109.5,27.7,18.6,102.39,4067,0.554,0.329
Bones Hyland,LAC,56,36,20,112.7,118,27.1,10,99.23,2240,0.643,0.427
Brandon Clarke,MEM,56,32,24,109,108.3,17.4,13.4,104,2348,0.571,0.549
Danuel House Jr.,PHI,56,38,18,112.8,112.5,13.3,6.1,101.02,1689,0.679,0.659
Hamidou Diallo,DET,56,12,44,108.9,109.5,21,10,103.05,2137,0.214,0.268
Jabari Walker,POR,56,21,35,104.8,113.8,16.4,6,103.03,1331,0.375,0.463
Jeff Green,DEN,56,33,23,107.1,115,16.7,7.1,99.38,2253,0.589,0.622
Jeremy Sochan,SAS,56,15,41,110.6,117.6,19.5,7.4,102.37,3101,0.268,0.268
Lonnie Walker IV,LAL,56,27,29,108.8,116.1,19.8,7.4,104.03,2810,0.482,0.329
Paul George,LAC,56,32,24,116.5,112.5,29.4,13.5,98.46,3976,0.571,0.427
Rudy Gay,UTA,56,29,27,111.5,108.6,17.4,6.9,103.11,1755,0.518,0.524
Stephen Curry,GSW,56,30,26,118.1,112.4,29.7,16.6,104.68,4244,0.536,0.427
Tyrese Haliburton,IND,56,28,28,116.9,117.9,23.8,15.9,101.45,3982,0.5,0.512
Will Barton,TOR,56,27,29,104.9,113.2,18.2,7.8,100.14,2074,0.482,0.585
Kyle Lowry,MIA,55,30,25,112.4,111.3,16.2,8.9,97.13,3483,0.545,0.415
LeBron James,LAL,55,30,25,115.6,111,32.2,17.2,103.11,4207,0.545,0.329
Precious Achiuwa,TOR,55,30,25,114,115.6,19,10,98.04,2330,0.545,0.585
Bogdan Bogdanovic,ATL,54,27,27,117.3,116.1,19.6,8.9,101.23,3193,0.5,0.622
Dennis Smith Jr.,CHA,54,19,35,103.6,106.2,17.5,9,102.11,2960,0.352,0.451
Garrison Mathews,ATL,54,16,38,103.1,109.5,13.9,6.4,101.98,1461,0.296,0.622
Haywood Highsmith,MIA,54,28,26,104.8,110,12.1,5.8,98.29,1985,0.519,0.415
Nassir Little,POR,54,22,32,111.1,119.9,15.8,6.8,99.56,2019,0.407,0.463
Taurean Prince,MIN,54,31,23,111.9,111,16.5,6.5,105.09,2600,0.574,0.207
Thaddeus Young,TOR,54,23,31,109.4,115,13.1,8.4,99.14,1643,0.426,0.585
Devin Booker,PHX,53,34,19,119.6,113.4,31.1,14.7,99.18,3797,0.642,0.488
Edmond Sumner,BKN,53,33,20,111.7,110.1,20.9,8.8,102.99,1579,0.623,0.5
Jalen Suggs,ORL,53,20,33,109.7,111,19.6,7.7,101.73,2638,0.377,0.488
Kenrich Williams,OKC,53,26,27,113.3,109.2,13.4,9.6,101.85,2546,0.491,0.537
Malachi Flynn,TOR,53,29,24,109.9,113.4,16.8,5.6,99.05,1430,0.547,0.585
Zeke Nnaji,DEN,53,34,19,101.5,107.4,14.9,7.2,98.4,1488,0.642,0.622
Austin Rivers,MIN,52,25,27,109.8,114.8,10.4,5,102.46,2154,0.481,0.207
Isaiah Livers,DET,52,10,42,107.9,115.6,11.7,5.3,99.5,2481,0.192,0.268
Jericho Sims,NYK,52,31,21,108.1,114.9,7.4,8.6,97.31,1646,0.596,0.5
Juan Toscano-Anderson,UTA,52,19,33,103.8,113.7,10.9,5.3,103.71,1514,0.365,0.524
Jusuf Nurkic,POR,52,24,28,114.6,114.3,21.8,11.9,99.59,2887,0.462,0.463
Kawhi Leonard,LAC,52,33,19,118.2,112.1,26.7,15.9,98.65,3592,0.635,0.427
MarJon Beauchamp,MIL,52,34,18,105.8,112.9,17.5,5.1,103.07,1510,0.654,0.707
Simone Fontecchio,UTA,52,25,27,105.2,118.3,19.2,4.6,104.96,1681,0.481,0.524
Wesley Matthews,MIL,52,37,15,111.1,108.3,9.5,4.1,104.52,1788,0.712,0.707
Alec Burks,DET,51,12,39,112.9,113.9,21.8,10.9,103.25,2422,0.235,0.268
Caleb Houstan,ORL,51,20,31,107.6,112.9,10.7,3.8,100.65,1706,0.392,0.488
Amir Coffey,LAC,50,26,24,104.2,113.1,12.8,4.2,101.22,1320,0.52,0.427
Bradley Beal,WAS,50,24,26,116.6,115.9,28.8,12.9,97.94,3421,0.48,0.512
Delon Wright,WAS,50,26,24,114.1,110.9,12.5,10.7,99.45,2525,0.52,0.512
Gordon Hayward,CHA,50,20,30,108.4,111.7,19.6,10.1,103.01,3386,0.4,0.451
Isaiah Stewart,DET,50,12,38,108.9,116.9,17,9.1,101.24,2988,0.24,0.268
Jaylin Williams,OKC,49,23,26,111.1,115.7,13.3,8,102.18,1946,0.469,0.537
Mo Bamba,LAL,49,25,24,113,111.5,16.6,10.1,99.32,1583,0.51,0.329
Taj Gibson,WAS,49,21,28,110.6,111.7,15.1,5.9,99.51,999,0.429,0.512
Cameron Payne,PHX,48,27,21,115.4,111.4,23.9,9.7,100.9,2033,0.562,0.488
Collin Sexton,UTA,48,24,24,116.4,116.3,23,9.7,102.3,2427,0.5,0.524
Day'Ron Sharpe,BKN,48,22,26,110.3,119,17.3,9.3,102.26,1178,0.458,0.5
Gary Harris,ORL,48,22,26,113,115.8,12.5,5.8,100.45,2472,0.458,0.488
Jaden Hardy,DAL,48,20,28,112.5,115.6,24.8,9,101.37,1502,0.417,0.537
